Northeast Regional Housing Affordability Index,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,,,,,,,,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family , Qualifying ,,Last,Last,,,,,,,,,,,,,,,
, Home ,Rate*, Payment ,Income, Income , Income** ,Composite,Month,Year,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1997.07," 157,300 ",7.35, 741 ,18.7," 48,419 "," 35,568 ",133.8,133.3,127.5,,,,,,,,,,,,,,,
1997.08," 159,300 ",7.34, 747 ,18.8," 48,602 "," 35,856 ",133.1,133.8,129,,,,,,,,,,,,,,,
1997.09," 154,800 ",7.30, 740 ,18.5," 48,786 "," 35,520 ",134.8,133.1,133.1,,,,,,,,,,,,,,,
1997.10," 148,800 ",7.22, 704 ,17.6," 48,971 "," 33,792 ",142.1,134.8,137.2,,,,,,,,,,,,,,,
1997.11," 154,500 ",7.17, 714 ,17.8," 49,156 "," 34,272 ",140.5,142.1,140.2,,,,,,,,,,,,,,,
1997.12," 157,600 ",7.14, 710 ,17.6," 49,342 "," 34,080 ",141.8,140.5,137.9,,,,,,,,,,,,,,,
1998.01," 143,200 ",7.05, 766 ,18.6," 49,528 "," 36,768 ",134.7,141.8,135,,,,,,,,,,,,,,,
1998.02," 140,000 ",7.06, 750 ,18.1," 49,716 "," 36,000 ",138.1,134.7,139.3,,,,,,,,,,,,,,,
1998.03," 147,000 ",7.10, 790 ,19.0," 49,904 "," 37,920 ",131.6,138.1,135.4,,,,,,,,,,,,,,,
1998.04," 155,900 ",7.08, 836 ,20.0," 50,092 "," 40,128 ",124.8,131.6,130.7,,,,,,,,,,,,,,,
1998.05," 160,800 ",7.07, 862 ,20.6," 50,282 "," 41,376 ",121.5,124.8,131.8,,,,,,,,,,,,,,,
